scientific_name,order,order_num,family,family_num,genus,genus_num,species,early_interval,late_interval,max_age_mya,min_age_mya,country,state,longitude,latitude,latlng_basis,latlng_precision,formation,stratigraphy_scale,lithology,environment,assembly_composition,preservation_mode,collection_name,collection_type,life_habit,vision,diet,time_period,preservation_mode_count,presevation_mode_count_scaled,order_num_scaled,diet_scaled,country_scaled
Bolbocephalus convexus,Proetida,21062,Bathyuridae,124260,Bolbocephalus,21098,convexus,Jeffersonian,,486.85,471.3,CA,Newfoundland and Labrador,-55.989166,51.590557,estimated from map,seconds,Boat Harbour,group of beds,packstone,peritidal,macrofossils,body,BH-53,biostratigraphic,low-level epifaunal,well-developed,detritivore,Ordovician,1,-0.03391346657626163,-0.3623829276467828,1,9
Listroa toxoura,Olenida,392207,Aphelaspidae,133754,Listroa,20031,toxoura,Steptoean,,497.0,493.5,US,Nevada,-115.997002,37.148998,estimated from map,3,Bonanza King,bed,limestone,carbonate indet.,macrofossils,body,USGS 3533-CO,biostratigraphic,low-level epifaunal,well-developed,carnivore,Cambrian,1,-0.03391346657626163,2.9650455947417167,0,42
Apatokephalus serratus,Asaphida,19834,Remopleurididae,103546,Apatokephalus,19854,serratus,Tremadoc,,486.4,477.1,AR,Salta,-64.891998,-22.211,estimated from map,3,,formation,marl,offshore,macrofossils,body,S.Vic-19 (N57) Rio Santa Victoria Section,taxonomic,nektobenthic,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37339232350417834,0,3
Liostracina bella,Ptychopariida,20239,Liostracinidae,155000,Liostracina,20028,bella,Guzhangian,,500.5,497.0,CN,Hunan,109.525002,28.388056,based on nearby landmark,seconds,Huaqiao,bed,packstone,slope,macrofossils,body,"Paibi section, bed 36b",taxonomic,low-level epifaunal,blind,detritivore,Cambrian,1,-0.03391346657626163,-0.3697613745446953,1,10
Danzhaiaspis quadratus,Ptychopariida,20239,Alokistocaridae,95305,Danzhaiaspis,182217,quadratus,Taijangian,,506.5,504.5,CN,Guizhou,108.413887,26.747223,stated in text,seconds,Kaili,bed,claystone,slope,macrofossils,"cast,mold/impression","Wuliu Quarry, FZX17",taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,0,-1.280512398105458,-0.3697613745446953,0,10
Acrocephalaspina insueta,Olenida,392207,Eulomidae,82599,Acrocephalaspina,231690,insueta,Aksaian,,492.8,491.5,KZ,,69.949997,43.533333,estimated from map,minutes,Zhumabai,bed,lime mudstone,slope,mesofossils,"body,cast","Kyrshabakty River, 1378-4",taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,2,1.2126854649529348,2.9650455947417167,0,24
Tonkinella valida,Corynexochida,19472,Oryctocephalidae,95230,Tonkinella,19708,valida,Delamaran,,509.7,505.3,US,Nevada,-114.333336,38.833332,estimated from map,minutes,Pole Canyon,bed,limestone,marine indet.,macrofossils,"body,cast","Snake Range, LACMIP 15565",taxonomic,nektobenthic,well-developed,carnivore,Cambrian,2,1.2126854649529348,-0.37663776430253115,0,42
Deadwoodia duris,Olenida,392207,Dokimokephalidae,133759,Deadwoodia,20444,duris,Steptoean,,497.0,493.5,US,Pennsylvania,-77.179443,40.761391,estimated from map,seconds,Gatesburg,,limestone,marine indet.,macrofossils,"body,cast",DB- 58.5,biostratigraphic,low-level epifaunal,well-developed,carnivore,Cambrian,2,1.2126854649529348,2.9650455947417167,0,42
Apianurus thorslundi,Odontopleurida,19772,Odontopleuridae,56895,Apianurus,19780,thorslundi,Nabala,,450.5,449.9,EU,,8.755278,58.453609,estimated from map,seconds,Solvang,,limestone,marine indet.,"macrofossils,mesofossils",body,"Terneholmen, Upper Chasmops Limestone",taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37394817248069184,0,13
Toxochasmops (Toxochasmops) wesenbergensis,Phacopida,21421,Pterygometopidae,133731,Toxochasmops (Toxochasmops),21800,wesenbergensis,Rakvere,,451.8,450.5,EU,,24.976667,59.285557,estimated from map,6,Rägavere,member,not reported,marine indet.,"macrofossils,mesofossils",body,Vaida,taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.3591643827666484,0,13
Failleana wangi,Corynexochida,19472,Styginidae,56893,Failleana,20512,wangi,Telychian,,438.6,432.9,CA,Quebec,-63.59639,49.391945,estimated from map,seconds,Chicotte,,grainstone,open shallow subtidal,macrofossils,body,AN24,taxonomic,nektobenthic,well-developed,carnivore,Silurian,1,-0.03391346657626163,-0.37663776430253115,0,9
Amphilichas planus,Lichida,19721,Lichidae,123406,Amphilichas,19724,planus,Caradoc,,458.2,449.5,EU,Scotland,-4.780948,55.274776,based on nearby landmark,6,Craighead,group of beds,mudstone,marine indet.,macrofossils,body,Craighead Quarry,taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.3744054030904045,0,13
Ogygiocaris sarsi,Asaphida,19834,Asaphidae,82596,Ogygiocaris,20091,sarsi,Uhaku,,459.7,458.0,EU,Asker,10.594167,59.816113,estimated from map,seconds,,,shale,marine indet.,"macrofossils,mesofossils",body,"Steilene, Ogyiocaris Shale",taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37339232350417834,0,13
Platypeltoides (Troedssonia) wimani,Asaphida,19834,Nileidae,124263,Platypeltoides (Troedssonia),20124,wimani,Batyrbaian,Tremadocian,491.5,477.1,RU,Siberia,85.67083,51.62278,estimated from map,seconds,Kamlak,,limestone,open shallow subtidal,"macrofossils,mesofossils",body,"Gorny Altai, Kamlak Section, Middle Kamlak Fm.",biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37339232350417834,0,35
Daihuaia sinensis,Proetida,21062,Proetidae,56726,Daihuaia,21142,sinensis,Famennian,,372.15,358.86,CN,Guizhou,106.416664,25.75,based on nearby landmark,minutes,Daihua,member,limestone,carbonate indet.,macrofossils,body,Guizhou,taxonomic,low-level epifaunal,well-developed,detritivore,Devonian,1,-0.03391346657626163,-0.3623829276467828,1,10
Olenellus roddyi,Redlichiida,19346,Olenellidae,90394,Olenellus,19149,roddyi,Dyeran,,515.3,509.7,US,Pennsylvania,-76.305832,40.037777,based on nearby landmark,seconds,Kinzers,,shale,marine indet.,"macrofossils,mesofossils,microfossils",body,"Lancaster, eastern PA, Kinzers Fm.",taxonomic,low-level epifaunal,well-developed,detritivore,Cambrian,1,-0.03391346657626163,-0.3777673928677036,1,42
Moschoglossis decorata brevicauda,Proetida,21062,Phillipsiidae,85866,Moschoglossis,21258,brevicauda,Hastarian,,358.86,353.7,EU,Namur,4.716667,50.299999,estimated from map,minutes,Hastière,formation,limestone,carbonate indet.,macrofossils,body,"Methel 4, Ermeton s/Biert. Railway cutting",taxonomic,low-level epifaunal,well-developed,detritivore,Carboniferous,1,-0.03391346657626163,-0.3623829276467828,1,13
Calyptaulax strasburgensis,Phacopida,21421,Pterygometopidae,133731,Calyptaulax,21482,strasburgensis,Turinian,,457.3,453.8,US,Virginia,-78.378059,38.996666,stated in text,seconds,Edinburg,bed,limestone,slope,"macrofossils,mesofossils,microfossils","body,replaced with silica",silicified horizon 22 m,biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,2,1.2126854649529348,-0.3591643827666484,0,42
Dellea suada,Olenida,392207,Dokimokephalidae,133759,Dellea,20448,suada,Franconian,,497.0,486.85,US,Oklahoma,-98.408333,34.816666,based on political unit,minutes,Reagan Sandstone,bed,sandstone,marine indet.,"macrofossils,mesofossils",body,"CC 0341. Chandler Creek Section, Unit 04. Wichita Mountains",taxonomic,low-level epifaunal,well-developed,carnivore,,1,-0.03391346657626163,2.9650455947417167,0,42
Phillibole planucauda,Proetida,21062,Phillipsiidae,85866,Archegonus (Phillibole),21075,planucauda,Ivorian,,353.7,346.7,US,Texas,-98.980003,31.17,based on nearby landmark,2,Chappel Limestone,bed,limestone,basinal (carbonate),macrofossils,body,"USNM 9047, Jack Sloan Ranch",taxonomic,low-level epifaunal,well-developed,detritivore,Carboniferous,1,-0.03391346657626163,-0.3623829276467828,1,42
Eldredgeops rana,Phacopida,21421,Phacopidae,56891,Eldredgeops,21555,rana,Givetian,,387.95,382.31,US,New York,-77.837502,42.830555,based on nearby landmark,seconds,Ludlowville,group of beds,mudstone,deep subtidal ramp,,body,"Mudstone interval, Jaycox Run, Jaycox Member, Livingston Co., NY",biostratigraphic,low-level epifaunal,well-developed,carnivore,Devonian,1,-0.03391346657626163,-0.3591643827666484,0,42
Paedeumias transitans,Redlichiida,19346,Olenellidae,90394,Olenellus (Paedeumias),19149,transitans,Dyeran,,515.3,509.7,US,California,-116.225555,35.848331,based on nearby landmark,seconds,Carrara,group of beds,limestone,transition zone/lower shoreface,macrofossils,body,Emigrant Pass. Biceratopsinae n. gen 1. n. sp.2 occurrence zonule,biostratigraphic,low-level epifaunal,well-developed,detritivore,Cambrian,1,-0.03391346657626163,-0.3777673928677036,1,42
Ananaspis fecunda,Phacopida,21421,Phacopidae,56891,Ananaspis,21440,fecundus,Ludfordian,,425.0,422.7,EU,,13.018056,46.669167,based on nearby landmark,seconds,Alticola Limestone,group of beds,limestone,marine indet.,,,"Alticola Limestone (beds 28-30), Plockener facies, Cellon-Lawineriss section",biostratigraphic,low-level epifaunal,well-developed,carnivore,Silurian,0,-1.280512398105458,-0.3591643827666484,0,13
Remopleurides pattersoni,Asaphida,19834,Remopleurididae,103546,Remopleurides,20172,pattersoni,Chazyan,,471.3,457.3,CA,Northwest Territories,-125.73333,61.633331,estimated from map,minutes,Esbataottine,bed,limestone,deep subtidal indet.,"macrofossils,microfossils","body,replaced with silica",Sunblood Mountain Calyptaulax-Ceraurinella Biofacies (A-125),biostratigraphic,nektobenthic,well-developed,carnivore,Ordovician,2,1.2126854649529348,-0.37339232350417834,0,9
Burmeisteria (Digonus) noticus,Phacopida,21421,Homalonotidae,133738,Digonus,21542,noticus,Lochkovian,,419.62,413.02,BO,La Paz,-68.0,-15.5,based on political unit,minutes,Catavi,formation,sandstone,marine indet.,,,"Catavi Beds, (Phacopina chojnacotensis bed) La Paz Province, Bolivia",taxonomic,low-level epifaunal,well-developed,carnivore,Devonian,0,-1.280512398105458,-0.3591643827666484,0,6
Syspacephalus crassus,Ptychopariida,20239,Ptychopariidae,80681,Ptychoparella,20902,crassus,St Davids,,506.5,497.0,US,Nevada,-114.409447,37.90139,stated in text,seconds,Pioche Shale,bed,limestone,carbonate indet.,macrofossils,body,"USNM 41768, Susan Duster Limestone Mbr, Pioche Hills",taxonomic,low-level epifaunal,well-developed,carnivore,,1,-0.03391346657626163,-0.3697613745446953,0,42
Hapalopleura longicornis,Trinucleida,198568,Alsataspididae,154938,Hapalopleura,87351,longicornis,Tremadoc,,486.4,477.1,AR,,-67.800003,-29.333332,based on nearby landmark,minutes,Volcancito,bed,siltstone,offshore,macrofossils,,"Portezuelo de La Alumbrera Creek, Famatina Range, Upper Volcancito Formation",taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,0,-1.280512398105458,1.2290126921112443,0,3
Pagodia seelyi,Corynexochida,19472,Kaolishaniidae,155469,Pagodia,19640,seelyi,Trempealeauan,,490.2,486.85,US,New York,-73.460281,44.048611,estimated from map,seconds,Keeseville,group of beds,sandstone,marine indet.,macrofossils,body,Loc. 136a. Large brook at point of Mineville Railroad at the turning of the first Y near Port Henry,taxonomic,nektobenthic,well-developed,carnivore,Cambrian,1,-0.03391346657626163,-0.37663776430253115,0,42
Greenops boothi,Phacopida,21421,Acastidae,56892,Greenops,21588,boothi,Givetian,,387.95,382.31,US,New York,-76.730003,42.669998,estimated from map,2,Moscow,,not reported,offshore,,,GroSpez1,paleoecologic,low-level epifaunal,well-developed,carnivore,Devonian,0,-1.280512398105458,-0.3591643827666484,0,42
Illaenus gelasinus,Corynexochida,19472,Illaenidae,124262,Illaenus,19582,gelasinus,Chazyan,,471.3,457.3,CA,Newfoundland and Labrador,-57.535557,50.356945,estimated from map,seconds,Table Cove,,limestone,slope,macrofossils,body,Table Cove,taxonomic,nektobenthic,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37663776430253115,0,9
Strigigenalis knighti,Proetida,21062,Bathyuridae,124260,Strigigenalis,21377,knighti,Jeffersonian,,486.85,471.3,CA,Newfoundland and Labrador,-55.989166,51.590557,estimated from map,seconds,Boat Harbour,group of beds,packstone,peritidal,macrofossils,body,BH-53,biostratigraphic,low-level epifaunal,well-developed,detritivore,Ordovician,1,-0.03391346657626163,-0.3623829276467828,1,9
Dicanthopyge convergens,Olenida,392207,Aphelaspidae,133754,Dicanthopyge,21888,convergens,Steptoean,,497.0,493.5,US,Nevada,-115.997002,37.148998,estimated from map,3,Bonanza King,bed,limestone,carbonate indet.,macrofossils,body,USGS 3533-CO,biostratigraphic,low-level epifaunal,well-developed,carnivore,Cambrian,1,-0.03391346657626163,2.9650455947417167,0,42
Asaphellus catamarcensis,Asaphida,19834,Asaphidae,82596,Asaphellus,19861,catamarcensis,Tremadoc,,486.4,477.1,AR,Salta,-64.891998,-22.211,estimated from map,3,,formation,marl,offshore,macrofossils,body,S.Vic-19 (N57) Rio Santa Victoria Section,taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37339232350417834,0,3
Pseudoyuepingia laochatianensis,Asaphida,19834,Ceratopygidae,82589,Pseudoyuepingia,20155,laochatianensis,Guzhangian,,500.5,497.0,CN,Hunan,109.525002,28.388056,based on nearby landmark,seconds,Huaqiao,bed,packstone,slope,macrofossils,body,"Paibi section, bed 36b",taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,1,-0.03391346657626163,-0.37339232350417834,0,10
Oryctocephalus indicus,Corynexochida,19472,Oryctocephalidae,95230,Oryctocephalus,19639,indicus,Taijangian,,506.5,504.5,CN,Guizhou,108.413887,26.747223,stated in text,seconds,Kaili,bed,claystone,slope,macrofossils,"cast,mold/impression","Wuliu Quarry, FZX17",taxonomic,nektobenthic,well-developed,carnivore,Cambrian,0,-1.280512398105458,-0.37663776430253115,0,10
Acrocephalaspina insueta,Olenida,392207,Eulomidae,82599,Acrocephalaspina,231690,insueta,Aksaian,,492.8,491.5,KZ,,69.949997,43.533333,estimated from map,minutes,Bestogai,bed,limestone,slope,mesofossils,"body,cast","Kyrshabakty River, 1378-8",taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,2,1.2126854649529348,2.9650455947417167,0,24
Parkaspis drumensis,Corynexochida,19472,Zacanthoididae,95208,Parkaspis,19653,drumensis,Delamaran,,509.7,505.3,US,Nevada,-114.333336,38.833332,estimated from map,minutes,Pole Canyon,bed,limestone,marine indet.,macrofossils,"body,cast","Snake Range, LACMIP 15565",taxonomic,nektobenthic,well-developed,carnivore,Cambrian,2,1.2126854649529348,-0.37663776430253115,0,42
Cliffia lataegenae,Ptychopariida,20239,Phylacteridae,133757,Cliffia,20416,lataegenae,Steptoean,,497.0,493.5,US,Pennsylvania,-77.179443,40.761391,estimated from map,seconds,Gatesburg,,limestone,marine indet.,macrofossils,"body,cast",DB- 58.5,biostratigraphic,low-level epifaunal,well-developed,carnivore,Cambrian,2,1.2126854649529348,-0.3697613745446953,0,42
Stygina minor,Corynexochida,19472,Styginidae,56893,Stygina,19694,minor,Oandu,Rakvere,452.8,450.5,EU,,10.526667,59.8475,estimated from map,seconds,Solvang,,limestone,marine indet.,"macrofossils,mesofossils",body,"Langåra, Solvang Fm.",taxonomic,nektobenthic,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37663776430253115,0,13
Toxochasmops (Toxochasmops) wesenbergensis,Phacopida,21421,Pterygometopidae,133731,Toxochasmops (Toxochasmops),21800,wesenbergensis,Rakvere,,451.8,450.5,EU,,26.493147,59.251713,estimated from map,6,Rägavere,,not reported,marine indet.,"macrofossils,mesofossils",body,"Voore exposure, Rägavere Fm., Piilse Member",taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.3591643827666484,0,13
Calymene barnesi,Phacopida,21421,Calymenidae,85380,Calymene,21478,barnesi,Rhuddanian,,443.1,440.5,CA,Quebec,-62.463333,49.381111,estimated from map,seconds,Becscie,,limestone,open shallow subtidal,macrofossils,body,AN25,taxonomic,nektobenthic,well-developed,carnivore,Silurian,1,-0.03391346657626163,-0.3591643827666484,0,9
Hemiarges antelucanus,Lichida,19721,Lichidae,123406,Hemiarges,19740,antelucanus,Caradoc,,458.2,449.5,EU,Scotland,-4.780948,55.274776,based on nearby landmark,6,Craighead,group of beds,mudstone,marine indet.,macrofossils,body,Craighead Quarry,taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.3744054030904045,0,13
Ogygiocaris sarsi,Asaphida,19834,Asaphidae,82596,Ogygiocaris,20091,sarsi,Lasnamagi,Uhaku,461.4,458.0,EU,Oslo-Asker,10.5025,59.791943,based on nearby landmark,seconds,Elnes,formation,shale,marine indet.,"macrofossils,mesofossils",body,"Djuptrekkodden, Engervik Member",taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37339232350417834,0,13
Acrocephalina lata,Ptychopariida,20239,Solenopleuridae,133819,Acrocephalina,20248,lata,Batyrbaian,,491.5,486.85,RU,Siberia,85.67083,51.62278,estimated from map,seconds,Kamlak,,siltstone,open shallow subtidal,"macrofossils,mesofossils",body,"Gorny Altai, Kamlak Section, Lower Kamlak Fm.",biostratigraphic,low-level epifaunal,well-developed,carnivore,Cambrian,1,-0.03391346657626163,-0.3697613745446953,0,35
Khalfinella carinata,Proetida,21062,Proetidae,56726,Khalfinella,21224,carinata,Eifelian,,393.47,387.95,UZ,,64.764999,41.259998,estimated from map,2,Iza,group of beds,limestone,carbonate indet.,macrofossils,body,Aristantau Mountains,taxonomic,low-level epifaunal,well-developed,detritivore,Devonian,1,-0.03391346657626163,-0.3623829276467828,1,43
Olenellus alius,Redlichiida,19346,Olenellidae,90394,Olenellus,19149,alius,Dyeran,,515.3,509.7,US,Pennsylvania,-76.305832,40.037777,based on nearby landmark,seconds,Kinzers,,shale,marine indet.,"macrofossils,mesofossils,microfossils",body,"Lancaster, eastern PA, Kinzers Fm.",taxonomic,low-level epifaunal,well-developed,detritivore,Cambrian,1,-0.03391346657626163,-0.3777673928677036,1,42
Moschoglossis decorata brevicauda,Proetida,21062,Phillipsiidae,85866,Moschoglossis,21258,brevicauda,Hastarian,,358.86,353.7,EU,,4.0,50.0,,degrees,Avesnelles,bed,limestone,carbonate indet.,macrofossils,body,"Avesnois, coupe de St. Hilaire",taxonomic,low-level epifaunal,well-developed,detritivore,Carboniferous,1,-0.03391346657626163,-0.3623829276467828,1,13
Calyptaulax strasburgensis,Phacopida,21421,Pterygometopidae,133731,Calyptaulax,21482,strasburgensis,Turinian,,457.3,453.8,US,Virginia,-78.378059,38.996666,stated in text,seconds,Edinburg,bed,limestone,slope,"macrofossils,mesofossils,microfossils","body,replaced with silica",silicified horizon 26 m,biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,2,1.2126854649529348,-0.3591643827666484,0,42
Dokimocephalus curtus,Olenida,392207,Dokimokephalidae,133759,Dokimocephalus,20457,curtus,Franconian,,497.0,486.85,US,Oklahoma,-98.408333,34.816666,based on political unit,minutes,Reagan Sandstone,bed,sandstone,marine indet.,"macrofossils,mesofossils",body,"CC 0341. Chandler Creek Section, Unit 04. Wichita Mountains",taxonomic,low-level epifaunal,well-developed,carnivore,,1,-0.03391346657626163,2.9650455947417167,0,42
Thigriffides roundyi,Proetida,21062,Phillipsiidae,85866,Thigriffides,21387,roundyi,Ivorian,,353.7,346.7,US,Texas,-98.980003,31.17,based on nearby landmark,2,Chappel Limestone,bed,limestone,basinal (carbonate),macrofossils,body,"USNM 9047, Jack Sloan Ranch",taxonomic,low-level epifaunal,well-developed,detritivore,Carboniferous,1,-0.03391346657626163,-0.3623829276467828,1,42
Greenops boothi,Phacopida,21421,Acastidae,56892,Greenops,21588,boothi,Givetian,,387.95,382.31,US,New York,-77.837502,42.830555,based on nearby landmark,seconds,Ludlowville,group of beds,shale,deep subtidal ramp,,body,"Green's Landing Coral Bed, Jaycox Run, Jaycox Member, Livingston Co., NY",biostratigraphic,low-level epifaunal,well-developed,carnivore,Devonian,1,-0.03391346657626163,-0.3591643827666484,0,42
Peachella iddingsi,Redlichiida,19346,Olenellidae,90394,Peachella,19154,iddingsi,Dyeran,,515.3,509.7,US,California,-116.225555,35.848331,based on nearby landmark,seconds,Carrara,group of beds,limestone,transition zone/lower shoreface,macrofossils,body,Emigrant Pass. Biceratopsinae n. gen 1. n. sp.2 occurrence zonule,biostratigraphic,low-level epifaunal,well-developed,detritivore,Cambrian,1,-0.03391346657626163,-0.3777673928677036,1,42
Proetus romanicus,Proetida,21062,Proetidae,56726,Proetus,21327,romanicus,Pridoli,Lochkovian,422.7,413.02,EU,,13.018056,46.669167,based on nearby landmark,seconds,,,limestone,marine indet.,,,"Beds 329-332, Rauchkofel section, Woyaler facies",biostratigraphic,low-level epifaunal,well-developed,detritivore,Devonian,0,-1.280512398105458,-0.3623829276467828,1,13
Sphaerexochus arenosus,Phacopida,21421,Cheiruridae,85334,Sphaerexochus,21779,arenosus,Chazyan,,471.3,457.3,CA,Northwest Territories,-125.73333,61.633331,estimated from map,minutes,Esbataottine,bed,limestone,deep subtidal indet.,"macrofossils,microfossils","body,replaced with silica",Sunblood Mountain Calyptaulax-Ceraurinella Biofacies (A-125),biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,2,1.2126854649529348,-0.3591643827666484,0,9
Kettneraspis aracana,Odontopleurida,19772,Odontopleuridae,56895,Kettneraspis,19811,aracana,Lochkovian,,419.62,413.02,BO,La Paz,-68.0,-15.5,based on political unit,minutes,Catavi,formation,sandstone,marine indet.,,,"Catavi Beds, (Phacopina chojnacotensis bed) La Paz Province, Bolivia",taxonomic,low-level epifaunal,well-developed,carnivore,Devonian,0,-1.280512398105458,-0.37394817248069184,0,6
Oryctocephalus primus,Corynexochida,19472,Oryctocephalidae,95230,Oryctocephalus,19639,primus,St Davids,,506.5,497.0,US,Nevada,-114.414719,37.905277,stated in text,seconds,Pioche Shale,bed,limestone,carbonate indet.,macrofossils,body,"USNM 41096, Log Cabin Mbr, Pioche Hills",taxonomic,nektobenthic,well-developed,carnivore,,1,-0.03391346657626163,-0.37663776430253115,0,42
Cummingella jonesi,Proetida,21062,Phillipsiidae,85866,Cummingella,21130,jonesi,Ivorian,Holkerian,353.7,339.9,EU,,7.0,47.866669,based on nearby landmark,minutes,Oderen,group of beds,mudstone,coastal indet.,macrofossils,body,"Mitzach, Southern Vosges, Carboniferous Limestone, Alsace",taxonomic,low-level epifaunal,well-developed,detritivore,Carboniferous,1,-0.03391346657626163,-0.3623829276467828,1,13
